"ID No.","PCD-400A"
"Title",""
"Test Date","2026/04/09","15:59:04"
"MEAS CHs",5
"Digital Input","OFF"
"Sampling Rate(Hz)",50
"Data Nos/CH",9105
"MEAS Time(sec)",182.1
"CH Name"
"CH No.","CH2","CH3","CH5","CH6","CH8"
"Range",2000,1000,5000,5000,5
"Calibration Coefficient",2.022,2.45,2.132,2,100000
"Offset",-97.55164,-1025.034,-15.1463,849.1317,-13.17073
"Unit","cm/s2","cm/s2","cm/s2","cm/s2","V"
3.28,0.134139024390237,-0.690195121951319,0.739699999999999,-1.15854390243896,0.853660243902437
3.30,-1.59491756097562,-1.55008536585376,1.8876,-4.74269024390242,1.58536756097561
3.32,-4.02082439024392,1.56589634146326,0.460199999999999,-4.81464146341466,0.79268463414634
3.34,-5.88796878048781,4.67530487804856,3.5399,-4.13903170731703,0.0609773170731689
3.36,-7.52184341463416,4.67321341463412,1.5535,-3.86708048780486,0.121952926829268
3.38,-6.90636634146342,1.45474999999988,1.4352,-3.21342195121952,0.853660243902437
3.40,-0.398978536585375,3.05322560975605,-5.8292,-3.72805609756097,-0.18292512195122
3.42,-1.30641268292685,3.21725609756095,-4.2575,-1.55488536585358,-0.243900731707319
3.44,-3.10993804878049,2.86857926829248,-7.0941,-2.81464146341466,-0.243900731707319
3.46,-6.5409268292683,2.44759756097551,-5.8175,-4.05244634146334,-0.853656829268294
3.48,-5.26558731707318,6.50682926829245,0.907399999999999,-4.89634878048776,0.304879756097559
3.50,-8.07616731707319,6.98637195121933,1.0361,-4.00122682926826,1.28048951219512
3.52,-6.52415902439026,5.49545731707303,-2.5272,-2.33537317073171,1.95122121951219
3.54,-4.40599073170733,1.94624390243894,-0.5967,-3.05488536585358,1.7682943902439
3.56,-0.513394146341469,2.82167073170717,-8.4695,-0.702446341463428,0.731709024390243
3.58,0.893621951219501,2.40905487804866,-2.5974,-4.15122682926824,0.54878219512195
3.60,-5.38888000000001,2.03976219512174,-1.2831,-1.96464146341464,1.21951390243902
3.62,-5.1654736585366,1.80999999999995,3.2747,-3.04878780487797,1.58536756097561
3.64,-5.15856926829269,5.11540853658516,4.8555,-3.03049512195116,2.37805048780488
3.66,-3.43444439024391,2.25398780487785,5.7538,-6.03659268292677,3.17073341463414
3.68,-3.82848780487807,-1.01168292682928,-0.7826,-2.0670804878049,3.23170902439024
