ID No.,PCD-400A,
Title,,
Test Date,4/9/2026,16:34:01
MEAS CHs,2,
Digital Input,OFF,
Sampling Rate(Hz),50,
Data Nos/CH,9855,
MEAS Time(sec),197.1,
CH Name,,
CH No.,CH6,CH8
Range,5000,5
Calibration Coefficient,2,100000
Offset,854.5598,-15.97561
Unit,cm/s2,V
13.56,11.99272683,-0.304878293
13.58,12.66223902,-0.792683171
13.6,11.70614146,-0.365853902
13.62,12.1500439,0.975609512
13.64,11.60614146,0.060975366
13.66,10.73419024,-1.158536829
13.68,12.01223902,-1.768292927
13.7,13.5793122,-3.048780732
13.72,15.8793122,-1.890244146
13.74,12.2793122,0.426829024
13.76,15.31833659,-0.121951463
13.78,13.10126341,-0.304878293
13.8,11.93053171,-1.463414878
13.82,12.49516585,-2.378049024
13.84,12.25614146,-2.256097805
13.86,14.02077561,-1.585366098
13.88,13.58906829,-2.804878293
13.9,12.2293122,-2.256097805
13.92,13.88297073,-1.829268537
13.94,14.88419024,-2.865853902
13.96,12.17199512,-1.768292927
13.98,13.31223902,-0.792683171
14,15.20370244,-0.792683171
14.02,15.1598,-0.91463439
14.04,15.05370244,-2.134146585
14.06,14.25858049,-2.987805122
14.08,13.14394634,-2.682927073
14.1,13.50248293,-0.365853902
14.12,17.04394634,-0.91463439
14.14,11.71589756,-0.121951463
14.16,11.97687317,-0.548780732
14.18,13.80370244,-2.012195366
14.2,11.93053171,-1.09756122
14.22,10.11589756,-0.121951463
14.24,14.03419024,-0.731707561
14.26,11.14516585,-0.609756341
14.28,10.1000439,-2.134146585
14.3,10.25614146,-1.707317317
14.32,11.25736098,-0.426829512
14.34,10.4293122,-0.121951463
14.36,11.89516585,-0.365853902
14.38,13.18175122,0.304877805
14.4,9.150043902,-1.951219756
14.42,11.47443415,-2.256097805
14.44,8.936629268,-1.951219756
14.46,10.17809268,-2.378049024
14.48,7.150043902,-2.439024634
14.5,9.657360976,-2.317073415
14.52,9.374434146,-2.804878293
14.54,10.0000439,-2.500000244
14.56,10.10126341,-1.03658561
14.58,9.052482927,-0.426829512
14.6,10.33662927,-0.426829512
14.62,7.940287805,0.121950976
14.64,9.832970732,-1.219512439
14.66,11.95736098,-2.256097805
14.68,8.793946341,-1.768292927
14.7,8.630531707,-1.03658561
14.72,9.784190244,-0.548780732
14.74,11.05736098,0.304877805
14.76,8.582970732,-0.243902683
14.78,11.39394634,-0.97561
14.8,9.13784878,-0.365853902
14.82,8.378092683,-1.219512439
14.84,9.919556098,-0.121951463
14.86,12.30370244,0.548780244
14.88,10.10370244,-1.524390488
14.9,11.09638537,-2.378049024
14.92,11.87809268,-1.646341707
14.94,12.22687317,-1.890244146
14.96,8.691507317,-0.731707561
14.98,11.40614146,-1.219512439
15,12.6000439,-2.012195366
15.02,12.0902878,-3.780488049
15.04,10.41589756,-3.41463439
15.06,11.95248293,-2.743902683
15.08,10.08419024,-1.707317317
15.1,14.46711707,-2.012195366
15.12,10.07077561,-2.926829512
15.14,11.72687317,-2.682927073
15.16,11.35736098,-1.524390488
15.18,14.45248293,-1.768292927
15.2,11.9695561,-0.609756341
15.22,12.20736098,-0.121951463
15.24,13.18053171,-1.585366098
15.26,14.00614146,-2.743902683
15.28,12.83419024,-3.35365878
15.3,12.84882439,-2.804878293
15.32,14.74638537,-1.707317317
15.34,14.59760488,0.304877805
15.36,14.30614146,-2.44E-07
15.38,14.76711707,-1.280488049
15.4,16.88419024,-1.341463659
15.42,14.57443415,-1.768292927
15.44,13.19638537,-2.378049024
15.46,12.60492195,-1.707317317
15.48,13.13540976,-2.682927073
15.5,11.72321463,-3.170731951
15.52,14.67077561,-3.963414878
15.54,16.81101951,-3.59756122
15.56,11.32687317,-2.317073415
15.58,13.34394634,-2.256097805
15.6,13.56833659,-2.865853902
15.62,12.39272683,-3.53658561
15.64,10.28419024,-3.719512439
15.66,15.60492195,-4.207317317
15.68,13.7098,-3.292683171
15.7,10.92565366,-2.621951463
15.72,11.7402878,-2.134146585
15.74,10.80492195,-2.865853902
15.76,13.59150732,-4.146341707
15.78,13.54638537,-4.146341707
