CH No.,CH6,CH8,,,,
Unit,cm/s2,V,,,,
10.48,21.99638537,0.243902195,,,,
10.5,21.26223902,0.243902195,,,,
10.52,23.32443415,0.914633902,,,,
10.54,19.87687317,0.182926585,,,,
10.56,21.41467805,-0.060975854,,,,
10.58,21.93297073,-0.182927073,,,,
10.6,24.94272683,-1.829268537,,,,
10.62,22.04150732,-1.219512439,,,,
10.64,22.15736098,-0.731707561,,,,
10.66,23.73784878,-0.609756341,,,,
10.68,22.38053171,-1.219512439,,,,
10.7,20.47199512,-0.792683171,,,,
10.72,19.41589756,-2.926829512,,,,
10.74,21.28175122,-2.560975854,,,,
10.76,20.95492195,-4.146341707,,,,
10.78,22.70370244,-4.939024634,,,,
10.8,21.08784878,-3.719512439,,,,
10.82,21.28419024,-4.024390488,,,,
10.84,21.62687317,-3.231707561,,,,
10.86,18.63784878,-2.134146585,,,,
10.88,20.54272683,-2.865853902,,,,
10.9,18.62321463,-3.048780732,,,,
10.92,21.69638537,-2.378049024,,,,
10.94,20.67321463,-2.682927073,,,,
10.96,19.76345854,-2.926829512,,,,
10.98,19.40370244,-1.463414878,,,,
11,19.00370244,-1.646341707,,,,
11.02,19.44150732,-0.97561,,,,
11.04,19.19882439,-0.243902683,,,,
11.06,17.43662927,-0.487805122,,,,
11.08,17.46711707,0.243902195,,,,
11.1,19.07321463,1.219511951,,,,
11.12,21.37321463,0.487804634,,,,
11.14,19.63906829,1.46341439,,,,
11.16,17.81833659,1.829268049,,,,
11.18,17.07565366,1.036585122,,,,
11.2,13.39638537,0.182926585,,,,
11.22,14.75492195,-0.121951463,,,,
11.24,15.18175122,0.243902195,,,,
11.26,14.26345854,-0.121951463,,,,
11.28,14.26589756,0.182926585,,,,
11.3,11.1195561,-1.03658561,,,,
11.32,12.2902878,-1.646341707,,,,
11.34,15.12199512,-2.073170976,,,,
11.36,12.90858049,-3.231707561,,,,
11.38,10.09394634,-3.292683171,,,,
11.4,13.89272683,-2.439024634,,,,
11.42,15.2195561,-3.292683171,,,,
11.44,13.02321463,-2.987805122,,,,
11.46,13.76833659,-3.109756341,,,,
11.48,15.96467805,-4.451219756,,,,
11.5,16.85492195,-3.902439268,,,,
11.52,14.4695561,-1.463414878,,,,
11.54,15.46101951,-2.500000244,,,,
11.56,16.56589756,-2.804878293,,,,
11.58,17.73906829,-2.500000244,,,,
11.6,16.30370244,-2.560975854,,,,
11.62,17.19150732,-1.09756122,,,,
11.64,18.07199512,-1.09756122,,,,
11.66,17.34882439,0.060975366,,,,
11.68,21.23540976,-0.792683171,,,,
11.7,20.63175122,0.670731463,,,,
11.72,17.69638537,1.036585122,,,,
11.74,21.57443415,0.792682683,,,,
11.76,18.84394634,1.097560732,,,,
11.78,20.63419024,0.548780244,,,,
11.8,19.48297073,0.792682683,,,,
11.82,19.49760488,-1.402439268,,,,
11.84,22.48053171,-0.609756341,,,,
11.86,19.53662927,-0.487805122,,,,
11.88,24.08175122,-0.91463439,,,,
11.9,21.96345854,-1.585366098,,,,
11.92,23.32077561,-1.646341707,,,,
11.94,21.40370244,-2.926829512,,,,
11.96,23.55248293,-3.231707561,,,,
11.98,24.33906829,-2.621951463,,,,
12,21.8695561,-3.53658561,,,,
12.02,23.09760488,-3.841463659,,,,
12.04,25.64516585,-3.170731951,,,,
12.06,25.7098,-3.170731951,,,,
12.08,22.77687317,-2.804878293,,,,
12.1,25.42687317,-2.012195366,,,,
12.12,23.20858049,-2.256097805,,,,
12.14,24.54760488,-1.158536829,,,,
12.16,25.66467805,-1.219512439,,,,
12.18,24.3098,-1.890244146,,,,
12.2,23.5402878,-3.292683171,,,,
12.22,23.93419024,-1.829268537,,,,
12.24,24.2793122,-1.341463659,,,,
12.26,25.93784878,-1.463414878,,,,
12.28,18.50858049,-1.524390488,,,,
12.3,22.04638537,-0.121951463,,,,
12.32,20.86833659,-0.609756341,,,,
12.34,20.28784878,0.853658293,,,,
12.36,19.8098,0.670731463,,,,
12.38,21.6695561,-0.243902683,,,,
12.4,23.91833659,-0.182927073,,,,
12.42,17.19760488,-1.951219756,,,,
12.44,19.22321463,-2.804878293,,,,
12.46,20.46711707,-2.012195366,,,,
12.48,20.30370244,-1.09756122,,,,
12.5,19.97809268,-1.890244146,,,,
12.52,19.57321463,-1.341463659,,,,
12.54,18.75248293,-3.109756341,,,,
12.56,18.32321463,-3.41463439,,,,
12.58,18.94516585,-2.621951463,,,,
12.6,18.5695561,-3.292683171,,,,
12.62,15.93662927,-4.573170976,,,,
12.64,17.16345854,-2.865853902,,,,
12.66,17.68419024,-2.560975854,,,,
12.68,17.43175122,-2.439024634,,,,
12.7,11.75492195,-1.890244146,,,,
12.72,16.36833659,-1.646341707,,,,
12.74,13.53297073,-2.012195366,,,,
12.76,13.28175122,-0.97561,,,,
12.78,14.82809268,-1.219512439,,,,
12.8,13.20370244,-1.524390488,,,,
12.82,12.34516585,-0.365853902,,,,
12.84,15.50492195,-1.402439268,,,,
12.86,12.8902878,-0.731707561,,,,
12.88,14.47687317,-0.670731951,,,,
12.9,13.58053171,-0.91463439,,,,
12.92,13.9098,-0.792683171,,,,
12.94,16.55858049,2.560975366,,,,
12.96,18.50248293,3.109755854,,,,
12.98,14.46345854,-2.926829512,,,,
13,18.33053171,-0.182927073,,,,
13.02,17.13540976,-2.134146585,,,,
13.04,17.87809268,-2.378049024,,,,
13.06,18.75492195,-3.719512439,,,,
13.08,19.0000439,-3.719512439,,,,
13.1,20.86223902,-3.35365878,,,,
13.12,19.23175122,-2.682927073,,,,
13.14,19.32809268,-3.292683171,,,,
13.16,17.40858049,-3.658536829,,,,
13.18,20.52565366,-2.682927073,,,,
13.2,21.53540976,-4.146341707,,,,
13.22,21.95614146,-3.048780732,,,,
13.24,22.26833659,-2.865853902,,,,
13.26,22.50614146,-4.085366098,,,,
13.28,21.61467805,-3.658536829,,,,
